データベース,でーたべーす, 
ノ,の, 
テ,て, 
ハ,は, 
ダ,だ, 
タ,た, 
ニ,に, 
ガ,が, 
ヲ,を, 
ト,と, 
スル,する, 
モ,も, 
デ,で, 
イル,いる, 
マス,ます, 
カ,か, 
デス,です, 
アル,ある, 
イウ,いう, 
ナイ,ない, 
カラ,から, 
ナイ,ない, 
ナル,なる, 
オ,お, 
ソノ,その, 
イチ,いち, 
ソレ,それ, 
ヨイ,よい, 
ヒト,ひと, 
ナニ,なに, 
コイ,こい, 
モノ,もの, 
ミル,みる, 
イク,いく, 
ヨ,よ, 
ソウ,そう, 
ホウ,ほう, 
トキ,とき, 
ネ,ね, 
ワタクシ,わたくし, 
デキル,できる, 
サン,さん, 
ニ,に, 
ヤ,や, 
ドウ,どう, 
コノ,この, 
マデ,まで, 
ダケ,だけ, 
テル,てる, 
サン,さん, 
チュウ,ちゅう, 
トコロ,ところ, 
タイ,たい, 
ワカル,わかる, 
ジブン,じぶん, 
ヘ,へ, 
コレ,これ, 
ナド,など, 
イマ,いま, 
ヒ,ひ, 
アト,あと, 
ヤル,やる, 
デル,でる, 
ジュウ,じゅう, 
ニジュウ,にじゅう, 
サンジュウ,さんじゅう, 
マエ,まえ, 
キク,きく, 
メ,め, 
タチ,たち, 
ネン,ねん, 
タリ,たり, 
マタ,また, 
ゴ,ご, 
ゴジュウ,ごじゅう, 
クダサル,くださる, 
シル,しる, 
ハイル,はいる, 
ヨリ,より, 
モツ,もつ, 
モウ,もう, 
ツカウ,つかう, 
クライ,くらい, 
ウチ,うち, 
ヨン,よん, 
ヨンジュウ,よんじゅう, 
ウエ,うえ, 
トウ,とう, 
ナガラ,ながら, 
ド,ど, 
アナタ,あなた, 
ツ,つ, 
トル,とる, 
オク,おく, 
ダス,だす, 
イエ,いえ, 
オナジ,おなじ, 
テ,て, 
ハナシ,はなし, 
ジカン,じかん, 
オトコ,おとこ, 
ドコ,どこ, 
ソコ,そこ, 
ヨク,よく, 
ミナ,みな, 
ダレ,だれ, 
イツ,いつ, 
ワタシ,わたし, 
マン,まん, 
カオ,かお, 
マダ,まだ, 
オオイ,おおい, 
シャ,しゃ, 
ココ,ここ, 
コドモ,こども, 
カケル,かける, 
ロク,ろく, 
ロクジュウ,ろくじゅう, 
シカシ,しかし, 
ゲツ,げつ, 
オシエル,おしえる, 
イレル,いれる, 
ホントウ,ほんとう, 
スコシ,すこし, 
ハチ,はち, 
ハチジュウ,はちじゅう, 
エン,えん, 
オンナ,おんな, 
シカ,しか, 
チガウ,ちがう, 
ツクル,つくる, 
サキ,さき, 
アゲル,あげる, 
フタリ,ふたり, 
ナナ,なな, 
ナナジュウ,ななじゅう, 
ワルイ,わるい, 
ヒャク,ひゃく, 
ニヒャク,にひゃく, 
ゴヒャク,ごひゃく, 
サンビャク,さんびゃく, 
ヨンヒャク,よんひゃく, 
ロッピャク,ろっぴゃく, 
ナナヒャク,ななひゃく, 
ハッピャク,はっぴゃく, 
コエ,こえ, 
カク,かく, 
アマリ,あまり, 
ソシテ,そして, 
サイ,さい, 
ヒトリ,ひとり, 
フン,ふん, 
シゴト,しごと, 
スグ,すぐ, 
コンナ,こんな, 
コトバ,ことば, 
カカル,かかる, 
シタ,した, 
カウ,かう, 
デンワ,でんわ, 
チョット,ちょっと, 
ハハ,はは, 
ナゼ,なぜ, 
ドンナ,どんな, 
スキ,すき, 
キュウ,きゅう, 
キュウジュウ,きゅうじゅう, 
キュウヒャク,きゅうひゃく, 
ミセ,みせ, 
アタマ,あたま, 
コロ,ころ, 
タカイ,たかい, 
イミ,いみ, 
シツモン,しつもん, 
ドノ,どの, 
タベル,たべる, 
モンダイ,もんだい, 
クチ,くち, 
タイ,たい, 
カイシャ,かいしゃ, 
ホン,ほん, 
キョウ,きょう, 
イッショ,いっしょ, 
オオキイ,おおきい, 
イチバン,いちばん, 
キル,きる, 
ハナス,はなす, 
レイ,れい, 
カイ,かい, 
ドチラ,どちら, 
ノム,のむ, 
チチ,ちち, 
ホシイ,ほしい, 
ハヤイ,はやい, 
カエル,かえる, 
ワ,わ, 
センセイ,せんせい, 
ツギ,つぎ, 
ヘヤ,へや, 
タツ,たつ, 
ケッコン,けっこん, 
ナガイ,ながい, 
イズレ,いずれ, 
ヨブ,よぶ, 
マツ,まつ, 
アウ,あう, 
アマイ,あまい, 
カゲツ,かげつ, 
カゼ,かぜ, 
コチラ,こちら, 
ソト,そと, 
トテモ,とても, 
ヒラク,ひらく, 
セン,せん, 
ニセン,にせん, 
ゴセン,ごせん, 
サンゼン,さんぜん, 
ヨンセン,よんせん, 
ハッセン,はっせん, 
ロクセン,ろくせん, 
ナナセン,ななせん, 
キュウセン,きゅうせん, 
ナマエ,なまえ, 
ヨム,よむ, 
ノル,のる, 
イロイロ,いろいろ, 
シヌ,しぬ, 
ツヨイ,つよい, 
ミズ,みず, 
ヨル,よる, 
ハジメテ,はじめて, 
ガワ,がわ, 
スクナイ,すくない, 
イヤ,いや, 
アルク,あるく, 
クニ,くに, 
オオキナ,おおきな, 
ヤ,や, 
ワカイ,わかい, 
イロ,いろ, 
コタエル,こたえる, 
ミセル,みせる, 
オワル,おわる, 
モット,もっと, 
アノ,あの, 
ミチ,みち, 
ワスレル,わすれる, 
アシ,あし, 
ウル,うる, 
タクサン,たくさん, 
ハシル,はしる, 
トモダチ,ともだち, 
イクラ,いくら, 
デワ,でわ, 
ガッコウ,がっこう, 
ヒク,ひく, 
テレビ,てれび, 
ダイガク,だいがく, 
コマル,こまる, 
チカク,ちかく, 
スム,すむ, 
タイヘン,たいへん, 
チイサイ,ちいさい, 
チョウ,ちょう, 
アケル,あける, 
オボエル,おぼえる, 
ヤマ,やま, 
ハタラク,はたらく, 
マイニチ,まいにち, 
アタラシイ,あたらしい, 
ビョウイン,びょういん, 
チョウ,ちょう, 
キレイ,きれい, 
チイサナ,ちいさな, 
ダイジョウブ,だいじょうぶ, 
シャシン,しゃしん, 
ネル,ねる, 
カゾク,かぞく, 
ケッコウ,けっこう, 
ページ,ぺーじ, 
チカイ,ちかい, 
マイ,まい, 
ヤスイ,やすい, 
オモシロイ,おもしろい, 
アア,ああ, 
ミミ,みみ, 
タブン,たぶん, 
ウマレル,うまれる, 
スワル,すわる, 
イヌ,いぬ, 
ムズカシイ,むずかしい, 
キ,き, 
ホテル,ほてる, 
キエル,きえる, 
サケ,さけ, 
オイシイ,おいしい, 
シロイ,しろい, 
イク,いく, 
キル,きる, 
アソブ,あそぶ, 
ウミ,うみ, 
オキル,おきる, 
エキ,えき, 
シュウカン,しゅうかん, 
タノム,たのむ, 
ハイ,はい, 
アニ,あに, 
ガル,がる, 
アス,あす, 
バン,ばん, 
オス,おす, 
ツライ,つらい, 
タノシイ,たのしい, 
カワイイ,かわいい, 
ヒクイ,ひくい, 
ヨコ,よこ, 
カルイ,かるい, 
ゼンブ,ぜんぶ, 
カイ,かい, 
ハジマル,はじまる, 
ゴ,ご, 
ハン,はん, 
ベンキョウ,べんきょう, 
リョコウ,りょこう, 
リョウリ,りょうり, 
オンナノコ,おんなのこ, 
キノウ,きのう, 
ダイ,だい, 
マド,まど, 
ハル,はる, 
ネコ,ねこ, 
イタイ,いたい, 
ミギ,みぎ, 
ハナ,はな, 
ドア,どあ, 
カエス,かえす, 
ハ,は, 
シンブン,しんぶん, 
ユックリ,ゆっくり, 
オジ,おじ, 
オモイ,おもい, 
カワ,かわ, 
アネ,あね, 
オソイ,おそい, 
ウシロ,うしろ, 
ズツ,ずつ, 
ソラ,そら, 
エイガ,えいが, 
バンゴウ,ばんごう, 
カミ,かみ, 
ワタル,わたる, 
フルイ,ふるい, 
ヒロイ,ひろい, 
クスリ,くすり, 
フク,ふく, 
トマル,とまる, 
トナリ,となり, 
リョウシン,りょうしん, 
ナツ,なつ, 
エイゴ,えいご, 
コ,こ, 
トブ,とぶ, 
タバコ,たばこ, 
ワタス,わたす, 
オトナ,おとな, 
ビョウキ,びょうき, 
ウタ,うた, 
ゲンキ,げんき, 
コトシ,ことし, 
アカイ,あかい, 
ハンブン,はんぶん, 
ユウメイ,ゆうめい, 
デカケル,でかける, 
バア,ばあ, 
ムコウ,むこう, 
アラウ,あらう, 
ユキ,ゆき, 
ナラブ,ならぶ, 
ケス,けす, 
ミジカイ,みじかい, 
タイセツ,たいせつ, 
ツカレル,つかれる, 
オリル,おりる, 
ヒダリ,ひだり, 
チョウド,ちょうど, 
バス,ばす, 
ガクセイ,がくせい, 
トキドキ,ときどき, 
クロイ,くろい, 
イル,いる, 
アリガトウ,ありがとう, 
ハナ,はな, 
ムラ,むら, 
スギ,すぎ, 
アカルイ,あかるい, 
ウスイ,うすい, 
キライ,きらい, 
ハコ,はこ, 
アメ,あめ, 
シズカ,しずか, 
クロ,くろ, 
ギンコウ,ぎんこう, 
カリル,かりる, 
カテイ,かてい, 
テガミ,てがみ, 
ヨワイ,よわい, 
メートル,めーとる, 
イス,いす, 
テーブル,てーぶる, 
ソチラ,そちら, 
セ,せ, 
クライ,くらい, 
ジャ,じゃ, 
サカナ,さかな, 
ジイ,じい, 
デンシャ,でんしゃ, 
イシャ,いしゃ, 
オバ,おば, 
トオイ,とおい, 
ツメタイ,つめたい, 
ベッド,べっど, 
エ,え, 
ウタウ,うたう, 
コーヒー,こーひー, 
オトウト,おとうと, 
ヨロシイ,よろしい, 
イモウト,いもうと, 
ゴゴ,ごご, 
セマイ,せまい, 
サムイ,さむい, 
ゴメン,ごめん, 
シラ,しら, 
キタ,きた, 
ハル,はる, 
イソガシイ,いそがしい, 
フロ,ふろ, 
パン,ぱん, 
ガイコク,がいこく, 
ドウゾ,どうぞ, 
ザッシ,ざっし, 
サア,さあ, 
ヘン,へん, 
スウ,すう, 
ハク,はく, 
ヤスム,やすむ, 
ニワ,にわ, 
ゲンカン,げんかん, 
エエ,ええ, 
オトコノコ,おとこのこ, 
フユ,ふゆ, 
オナカ,おなか, 
オンガク,おんがく, 
キョウダイ,きょうだい, 
ドウブツ,どうぶつ, 
カス,かす, 
ヒル,ひる, 
ボール,ぼーる, 
トイレ,といれ, 
ツク,つく, 
ホソイ,ほそい, 
ニク,にく, 
タテモノ,たてもの, 
ソウジ,そうじ, 
デンキ,でんき, 
ハシ,はし, 
アキ,あき, 
